id,document_id,session_id,chunk_index,text
126,3,d7f03a24-a627-4fc5-abbb-bd7ac66c876e,0,"World War II
From top to bottom, left to right:
German Stuka dive bombers on the Eastern Front,
1943 · British Matilda II tanks during the North African
campaign, 1941 · US atomic bombing of Nagasaki in
Japan, 1945 · Soviet troops at the Battle of Stalingrad,
1943 · Soviet soldier raising a flag over the Reichstag
after the Battle of Berlin, 1945 · US warships in
Lingayen Gulf in the Philippines, 1945
Date 1 September 1939 – 2 September 1945[a]
(6 years, 1 day)
LocationGlobal
Result Allied victory
Belligerents
Allies Axis
Commanders and leaders
Main Allied leaders:
 Joseph Stalin
 Franklin D. Roosevelt
 Winston Churchill
 Chiang Kai-shekMain Axis leaders:
 Adolf Hitler
 Hirohito
 Benito MussoliniWorld War II
Casualties and losses
60–75 million deaths (military and civilian)
World War II,[b] or the Second World War (1 September 1939 – 2 September 1945), was a global
conflict  between two coalitions : the Allies  and the Axis powers . Nearly all of the world's countries"
127,3,d7f03a24-a627-4fc5-abbb-bd7ac66c876e,1,"conflict  between two coalitions : the Allies  and the Axis powers . Nearly all of the world's countries
participated, with many engaging in total war on an unprecedented scale. World War II was the deadliest
conflict  in history , causing the deaths of 60 to 75 million people , a majority of whom were civilians.
Millions died as a result of massacres, starvation, disease, and genocides  including the Holocaust . After
the Allied victory , Germany , Austria , Japan , and Korea  were occupied, and German  and Japanese  leaders
were tried for war crimes .
The causes of World War II included unresolved tensions in the aftermath of World War I and the rise of
fascism in Europe  and militarism in Japan . Key events preceding the war included Japan's invasion of
Manchuria  in 1931, the Spanish Civil War, the outbreak of the Second Sino-Japanese War in 1937, and
Germany's annexations of Austria  and the Sudetenland . World War II is generally considered to have"
128,3,d7f03a24-a627-4fc5-abbb-bd7ac66c876e,2,"Germany's annexations of Austria  and the Sudetenland . World War II is generally considered to have
begun on 1 September 1939, when Nazi Germany , under Adolf Hitler , invaded Poland , after which the
United Kingdom  and France declared war on Germany . Poland was also invaded by the Soviet Union  in
mid-September , and was partitioned between the two states under the Molotov–Ribbentrop Pact. In 1940,
the Soviet Union annexed the Baltic states  and parts of Finland  and Romania , while Germany conquered
Norway , Denmark , Belgium , Luxembour g, and the Netherlands . After the fall of France  in June 1940, the
war continued, mainly between Germany , now assisted by Fascist Italy, and the British Empire  and
British Commonwealth , with fighting in the Balkans , Mediterranean, Middle East, East Africa , the aerial
Battle of Britain , the Blitz , and the naval Battle of the Atlantic . By mid-1941, Yugoslavia  and Greece  had"
129,3,d7f03a24-a627-4fc5-abbb-bd7ac66c876e,3,"Battle of Britain , the Blitz , and the naval Battle of the Atlantic . By mid-1941, Yugoslavia  and Greece  had
also been defeated by Axis  countries. In June 1941, Germany invaded the Soviet Union , opening the
Eastern Front .
In December 1941, Japan attacked American and British territories in Asia and the Pacific , including
Pearl Harbor in Hawaii , leading the United States to enter the war against the Axis. Japan conquered
much of coastal China and Southeast Asia, but its advances in the Pacific were halted in June 1942 at the
Battle of Midway . In early 1943, Axis forces were defeated in North Africa  and at Stalingrad  in the Soviet
Union. An Allied invasion of Italy in July resulted in the fall of its fascist regime , and Allied offensives in
the Pacific and the Soviet Union forced the Axis to retreat on all fronts. In 1944, the Western Allies
invaded France at Normandy , opening a new front , and the Soviet Union advanced into Central Europe."
130,3,d7f03a24-a627-4fc5-abbb-bd7ac66c876e,4,"invaded France at Normandy , opening a new front , and the Soviet Union advanced into Central Europe.
Japan also suffered major setbacks, including the crippling of its navy by the United States, the loss of
key Western Pacific islands, and defeats in Burma . The war in Europe concluded with the liberation of
German-occupied territories  and an invasion of Germany itself, which culminated in the fall of Berlin  and
Germany's unconditional surrender  on 8 May 1945 . On 6 and 9 August, the US dropped atomic bombs  on
Hiroshima and Nagasaki, followed by a Soviet invasion of Japanese-occupied Manchuria . Japan
announced its unconditional surrender  on 15 August and signed a surrender document  on 2 September
1945 .
World War II transformed the political, economic, and social structures of the world and established the
foundation of international relations for the rest of the 20th century and into the 21st century . The United"
131,3,d7f03a24-a627-4fc5-abbb-bd7ac66c876e,5,"foundation of international relations for the rest of the 20th century and into the 21st century . The United
Nations was created to foster internatio nal cooperation and prevent future conflicts, with the victorious
great powers—China, France, the Soviet Union, the United Kingdom, and the United States—becoming
the permanent members  of its Security Council . The Soviet Union and the United States emer ged as rival
The League of Nations assembly, held
in Geneva, Switzerland (1930)superpowers, setting the stage for the Cold War. In the wake of Europe's devastation, the influence of its
great powers waned, triggering the decolonisation of Africa  and of Asia. Many countries whose industries
had been damaged moved towards economic recovery and expansion .
Most historians agree that World War II began with the German invasion of Poland  on 1 September 1939
and the British  and French  declarations of war on Germany two days later.[1] Dates for the beginning of"
132,3,d7f03a24-a627-4fc5-abbb-bd7ac66c876e,6,"and the British  and French  declarations of war on Germany two days later.[1] Dates for the beginning of
the Pacific War include the start of the Second Sino-Japanese War on 7 July 1937, or the earlier Japanese
invasion of Manchuria  on 18 September 1931.[2][3][4][5] Other proposed starting dates include the Italian
invasion of Abyssinia  on 3 October 1935.[6] The British historian Antony Beevor  views the beginning of
World War II as the Battles of Khalkhin Gol fought between Japan  and the forces of Mongolia and the
Soviet Union  from May to September 1939.[7] Others view the Spanish Civil War as the start of or
prelude to World War II.[8][9]
The date of the war's end is also not universally agreed upon. It was generally accepted at the time that
the war ended with the armistice  of 15 August 1945 (V-J Day), rather than with the formal surrender of
Japan  on 2 September 1945, which officially ended the war in Asia. A peace treaty between Japan and the"
133,3,d7f03a24-a627-4fc5-abbb-bd7ac66c876e,7,"Japan  on 2 September 1945, which officially ended the war in Asia. A peace treaty between Japan and the
Allies  was signed in 1951.[10] A 1990 treaty regarding Germany's future  allowed the reunification of East
and West Germany  to take place.[11] No formal peace treaty between Japan and the Soviet Union was
ever signed, although the state of war between the two countries was terminated by the Soviet–Japanese
Joint Declaration of 1956 , which also restored full diplomatic relations between them.[12][13]
World War I radically altered the European political map. The most prominent nations of the Central
Powers  each lost territory in their respective peace treaties at the conclusion of the conflict. New nation-
states  were created out of the dissolution of the Austro-Hungarian , Ottoman , and Russian Empires .[14]Start and end dates
Backgr ound
Aftermath of World War I"
134,3,d7f03a24-a627-4fc5-abbb-bd7ac66c876e,8,"Adolf Hitler at a German
Nazi political rally in
Nuremberg, August 1933To prevent a future world war, the League of Nations  was established in 1920 by the Paris Peace
Conference . The organisation's primary function was to prevent armed conflict through collective
security , military , and naval disarmament , as well as settling international disputes through peaceful
negotiations and arbitration.[15]
Despite strong pacifist sentiment after World War I, irredentist  and revanchist  nationalism  had emer ged in
several European states.[16] These sentiments were especially pronounced in Germany due to the
significant territorial, colonial, and financial losses imposed by the Treaty of Versailles . Under the treaty ,
Germany lost around 13 per cent of its home territory and all its overseas possessions , while German
annexation of other states was prohibite d, reparations  were imposed, and limits were placed on the size
and capability of the country's armed forces .[17]"
135,3,d7f03a24-a627-4fc5-abbb-bd7ac66c876e,9,"and capability of the country's armed forces .[17]
The German Empire  was dissolved in the German revolution of 1918–1919 , and a democratic
government, later known as the Weimar Republic , was created. The interwar period  saw strife between
supporters of the new republic and hardline opponents on both the political right and left. Italy, as an
Entente ally, had made some post-war territorial gains; however , Italian national ists were angered that the
promises made  by the United Kingdom and France to secure Italian entrance into the war were not
fulfilled in the peace settlement. From 1922 to 1925, the fascist  movement led by Benito Mussolini  seized
power in Italy with a nationalist, totalitarian , and class collaborationist  agenda that abolished
representative democracy , repressed socialist, left-wing, and liberal forces and pursued an aggressive
expansionist foreign policy aimed at making Italy a world power , promising the creation of a ""New
Roman Empire"".[18]"
